venue_name,city,address,neighborhood,maps_link,events_url,status
The Comedy Store,West Hollywood,"8433 Sunset Blvd, West Hollywood, CA 90069",West Hollywood,https://maps.app.goo.gl/aYpQysUaK6xiwsph6,https://thecomedystore.com/calendar/room/the-belly-room,ok
The Glendale Room,Glendale,"127 N Artsakh Ave, Glendale, CA 91206",Glendale,https://maps.app.goo.gl/L8py5889CbMDiSt59,https://www.theglendaleroom.com/calendar,ok
Tao Comedy Studio,Los Angeles,"131 S Western Ave, Los Angeles, CA 90004",Koreatown,https://maps.app.goo.gl/6fgtc6CDg4mSfuGa6,https://taocomedystudio.com/schedule/,ok
Park La Brea Activities Center and Theater,Los Angeles,"475 S Curson Ave, Los Angeles, CA 90036",Mid-Wilshire,https://maps.app.goo.gl/q8UBXFGfkBYQxvcL9,none,ok
The Comedy Chateau,North Hollywood,"4615 Lankershim Blvd, North Hollywood, CA 91602",North Hollywood,https://maps.app.goo.gl/UTP8rdFARBRoYDcD9,https://www.thecomedychateau.com/calendar,ok
Brews Brothers Brewpub (Burbank),Burbank,"3000 W Olive Ave, Burbank, CA 91505",Burbank,https://maps.app.goo.gl/uCdmNFPwUVML5TJd6,https://brewsbrotherscraftbeer.com/events,ok
Brews Brothers (North Hollywood),North Hollywood,"5140 Lankershim Blvd, North Hollywood, CA 91601",North Hollywood,https://maps.app.goo.gl/7qTD5MqTANfovpkh9,http://slotted.co/bearknux,ok
Sal's Pub & Grill,Canoga Park,"22033 Sherman Way, Canoga Park, CA 91303",Canoga Park,https://maps.app.goo.gl/TTGWg53K6xoZiZ9N9,none,ok
Liquid Zoo,Van Nuys,"7214 Sepulveda Blvd, Van Nuys, CA 91405",Van Nuys,https://maps.app.goo.gl/eaYdgKamB7HDy48z8,none,ok
The Pack Theater,Los Angeles,"1615 N Vermont Ave, Los Angeles, CA 90027",East Hollywood,https://maps.app.goo.gl/wUVYUgz8ZzEyHZnZ7,https://www.packtheater.com/shows,ok
Nico's Wines (Baby Battista),Los Angeles,"3111 Glendale Blvd #2, Los Angeles, CA 90039",Atwater Village,https://maps.app.goo.gl/Dsg4noWq8qYSn9fJ7,https://www.eventbrite.com/o/baby-battista-at-nicos-77451581323,ok
Petty Cash Studios,West Hollywood,"8949 Sunset Blvd Ste 203, West Hollywood, CA 90069",West Hollywood,https://maps.app.goo.gl/9zbegKLCuem4QS3X8,none,ok
The Blue Door Theater,Culver City,"9617 Venice Blvd., Culver City, CA 90232",Culver City,https://maps.app.goo.gl/rgAfRutNf7Yqv2MY8,https://www.artsupla.org/variety,ok
Roxanne's,Long Beach,"1115 E Wardlow Rd, Long Beach, CA 90807",California Heights,https://maps.app.goo.gl/t4zq83FeiEwBVi2G6,https://www.rox.bar/events/,out_of_scope
The Elysian Theater,Los Angeles,"1944 Riverside Dr, Los Angeles, CA 90039",Echo Park,https://maps.app.goo.gl/aMDotVuhz5HKmtbEA,https://www.elysiantheater.com/open-mic-cal,ok
Boomtown Brewery,Los Angeles,"700 Jackson St, Los Angeles, CA 90012",Downtown,https://maps.app.goo.gl/BtWKgaQXVJd1eZXG6,https://www.boomtownbrew.com/visit/#events,ok
