venue_name,scraped_city,resolved_address,likely_neighborhood_hint,maps_link,status,seen_on,notes
The Comedy Store,West Hollywood,"8433 Sunset Blvd, West Hollywood, CA 90069",West Hollywood,https://maps.app.goo.gl/aYpQysUaK6xiwsph6,ok,Sun 4:00pm (Original Room); Mon 4:00pm (Original Room); Wed 10:00pm (Belly Room),"Same link used for Original Room and Belly Room mics, one venue with multiple rooms."
The Glendale Room,Glendale,"127 N Artsakh Ave, Glendale, CA 91206",Glendale,https://maps.app.goo.gl/L8py5889CbMDiSt59,ok,Sun 4:00pm; Mon 4:00pm (storytelling); Wed 7:30pm; Fri 4:00pm,
The Glendale Room,Glendale,,Glendale,https://g.co/kgs/BCskLBt,duplicate_review,Mon 2:00pm,"Second maps link under the same venue name, confirm same address as the row above before merging."
Tao Comedy Studio,Los Angeles,,,https://goo.gl/maps/vmwTmVaoB9Xzvqjy5,needs_address,Sun 4:30pm; Mon 7:30pm; Tue 7:30pm; Wed 7:30pm; Fri 7:30pm,"Consistent link across all five listings, resolve once and reuse everywhere."
Park La Brea Theatre,Los Angeles,,,https://maps.app.goo.gl/bjaTQHjLcgEJBEnZ7?g_st=ic,needs_address,Sun 6:30pm,"""Park La Brea"" is not itself in the neighborhoods taxonomy, likely Miracle Mile or Fairfax area, needs a real address to confirm."
The Comedy Chateau,North Hollywood,,North Hollywood,https://goo.gl/maps/tZwYsBcrYSHEASSr6,ok,Sun 7:00pm,
Brews Brothers (Burbank),Burbank,,Burbank,https://www.google.com/maps/dir//Brews+Brothers+Brewpub,ok,Sun 8:00pm,"Distinct from the North Hollywood Brews Brothers below, likely two different locations sharing a name, not a scraper error. Don't merge."
Brews Brothers (North Hollywood),North Hollywood,,North Hollywood,https://goo.gl/maps/bHVsekHoqX4BbTr87,needs_address,Thu 7:00pm,"Originally omitted from this file by mistake despite being referenced in the Burbank row's note above. Contact @drewjfahey; sign-up via http://slotted.co/bearknux."
Sal's Pub & Grill,Canoga Park,,Canoga Park,https://maps.app.goo.gl/TTGWg53K6xoZiZ9N9,ok,Sun 8:15pm,
Liquid Zoo,Van Nuys,,Van Nuys,https://goo.gl/maps/jc3wjxgAnhqFAWch6,ok,Sun 8:30pm (last Sunday of month),
Pack Theater,Los Angeles,,,https://maps.app.goo.gl/y5RWtZXciDQTCZC4A?g_st=ic,needs_address,Sun 10:30pm,
Nico's Wines,Los Angeles,,,https://goo.gl/maps/rPF8mRLdc3tNzSu88,needs_address,Mon 5:00pm; Mon 9:00pm (billed as Nico's),"Same link both times, one venue, two different mic names."
Petty Cash Studios,West Hollywood,8949 Sunset Blvd Suite 203,West Hollywood,https://google.com/maps?daddr=8949+Sunset+Blvd+Suite+203,ok_resolved,Mon 6:45pm,Street address embedded in the maps link itself.
The Blue Door Theater,Culver City,,Culver City,https://maps.app.goo.gl/RfajcxK8fj6hTaYz6,ok,Mon 7:00pm (first Monday),
Roxanne's,Long Beach,,,https://maps.app.goo.gl/fHyNinAog1zAesT96?g_st=ic,out_of_scope,Mon 7:00pm (first Monday),Long Beach is not in the current neighborhoods taxonomy.
The Elysian Theater,Los Angeles,,,https://www.google.com/maps/dir//the+elysian+theater,needs_address,Mon 7:00pm,
Social Eats UCSB,Goleta,,,https://goo.gl/maps/vpzasLMchqkQi5PG8,out_of_scope,Mon 7:00pm (biweekly),"Goleta is in Santa Barbara County, outside the LA taxonomy entirely."
Boomtown Brewery,Los Angeles,,,https://goo.gl/maps/ZC4HxvGNfjbH6Mgs7,needs_address,Mon 7:00pm,
The CanTiki,North Hollywood,11100 Magnolia Blvd,North Hollywood,https://www.google.com/maps?daddr=11100+Magnolia+Blvd,ok_resolved,Mon 7:30pm,
The Nitecap,Burbank,,Burbank,https://goo.gl/maps/fTtWXB1KU4CWjt8X9,ok,Mon 7:30pm,
Universal Bar & Grill,North Hollywood,,North Hollywood,"(garbled Google search-results URL, no stable link)",needs_address,Mon 7:30pm,"Maps link is a Google search-results URL, not a place link. Same garbled URL also used for Sunset Rooftop below. Check whether these are actually the same venue under two mic names."
The Escondite,Los Angeles,,,https://maps.app.goo.gl/6egpLdEhTPaYzYUU6,needs_address,Mon 8:30pm,
Rocco's,West Hollywood,,West Hollywood,https://maps.app.goo.gl/cHaomZt8896bznD57?g_st=ic,ok,Mon 9:00pm,
Lyric Hyperion,Los Angeles,,,https://goo.gl/maps/k12nM81bkLJfBsz7A,duplicate_review,Sun 3:30pm; Mon 9:00pm,"Same venue name appears under 3 different maps links total (this one, LbCq8YefERHcD9TGA, cfo2TAvdCmNQpsVM7). Confirm all resolve to the same address before treating as one venues row."
Lyric Hyperion,Los Angeles,,,https://goo.gl/maps/LbCq8YefERHcD9TGA,duplicate_review,Thu 10:00am; Fri 1:00pm,See note on the other Lyric Hyperion rows.
Lyric Hyperion,Los Angeles,,,https://goo.gl/maps/cfo2TAvdCmNQpsVM7,duplicate_review,Sat 1:00pm (storytelling),See note on the other Lyric Hyperion rows.
Proof Bar,Santa Ana,,,https://goo.gl/maps/k5yvNrZHBCsuH6eMA,out_of_scope,Mon 9:00pm,"Santa Ana is in Orange County, outside the LA taxonomy entirely."
Laugh Factory,Los Angeles,,,https://goo.gl/maps/a8L3RcNVwvbp4fX18,needs_address,Tue 4:30pm,"Well-known Sunset Strip venue but not verifying the address from memory, resolve from the maps link."
The Hollywood Improv,Los Angeles,,,https://goo.gl/maps/SiPNPxYXtfCCBCet5,needs_address,Tue 4:30pm (Main Room); Wed 5:30pm (Lab),"Same link for both rooms, one venue."
Canter's Deli (Kibitz Room),Los Angeles,,,https://g.co/kgs/9xdAFcD,needs_address,Tue 5:30pm; Sat 7:30pm (last Saturday),
Cahuenga General Store,North Hollywood,,North Hollywood,https://goo.gl/maps/ayroUZ9vjHWMgNqT8,ok,Tue 5:30pm,
Relentless Spirits & Brewing,Los Angeles,,,https://maps.app.goo.gl/976SBfLy9DAbMYnx5?g_st=ic,needs_address,Tue 6:00pm (2nd Tuesday),
Kavahana Bar,Santa Monica,,Santa Monica,https://maps.app.goo.gl/tqwWNNrh5o4C2ioBA,ok,Tue 6:30pm,"Possibly the same venue as the Kavahana row below, confirm."
Stand-Up Comedy Club,Bellflower,,Bellflower,https://goo.gl/maps/cuhBD433pqqDYGi67,ok,Tue 7:00pm,
Three Weavers Brewing Company,Inglewood,,,https://maps.app.goo.gl/MpZcJcusyGvkxK4TA,taxonomy_gap,Tue 7:00pm,"Inglewood is a real LA County city but is missing from the neighborhoods taxonomy entirely (separate issue from this seed, may be worth a taxonomy fix)."
The Upright Citizens Brigade Theater (Bronson),Los Angeles,,,https://maps.app.goo.gl/7ZHUYub6uJ9f14LM7?g_st=ic,needs_address,Tue 7:00pm,
The Ontario Improv,Ontario,,,https://goo.gl/maps/2nbk953nhervQN6e8,out_of_scope,Tue 7:00pm (1st Tuesday),"Ontario is in San Bernardino County, outside the LA taxonomy entirely."
